,customerid,Segment
223,16770.0,Mid-Value
224,17228.0,Mid-Value
225,18239.0,Mid-Value
226,17884.0,Mid-Value
227,16477.0,Mid-Value
228,12712.0,Mid-Value
229,15708.0,Mid-Value
230,17062.0,Mid-Value
231,14810.0,Mid-Value
232,17796.0,Mid-Value
233,16327.0,Mid-Value
234,17863.0,Mid-Value
235,17965.0,Mid-Value
236,17068.0,Mid-Value
237,17223.0,Mid-Value
238,15194.0,Mid-Value
239,14215.0,Mid-Value
240,16782.0,Mid-Value
241,17091.0,Mid-Value
242,17735.0,Mid-Value
243,12347.0,Mid-Value
244,18077.0,Mid-Value
245,13983.0,Mid-Value
246,13842.0,Mid-Value
247,17975.0,Mid-Value
248,17722.0,Mid-Value
249,17894.0,Mid-Value
250,12826.0,Mid-Value
251,12731.0,Mid-Value
252,17220.0,Mid-Value
253,15179.0,Mid-Value
254,17372.0,Mid-Value
255,15547.0,Mid-Value
256,13198.0,Mid-Value
257,12540.0,Mid-Value
258,17799.0,Mid-Value
259,15159.0,Mid-Value
260,14426.0,Mid-Value
261,17580.0,Mid-Value
262,18223.0,Mid-Value
263,17392.0,Mid-Value
264,12782.0,Mid-Value
265,13869.0,Mid-Value
266,14146.0,Mid-Value
267,12668.0,Mid-Value
268,12377.0,Mid-Value
269,14462.0,Mid-Value
270,12578.0,Mid-Value
271,16771.0,Mid-Value
272,18283.0,Mid-Value
273,13280.0,Mid-Value
274,15281.0,Mid-Value
275,15518.0,Mid-Value
276,14040.0,Mid-Value
277,12652.0,Mid-Value
278,12626.0,Mid-Value
279,15696.0,Mid-Value
280,12637.0,Mid-Value
281,13659.0,Mid-Value
282,15443.0,Mid-Value
283,17673.0,Mid-Value
284,12625.0,Mid-Value
285,14541.0,Mid-Value
286,14130.0,Mid-Value
287,13815.0,Mid-Value
288,12744.0,Mid-Value
289,14049.0,Mid-Value
290,16714.0,Mid-Value
291,16409.0,Mid-Value
292,12764.0,Mid-Value
293,16767.0,Mid-Value
294,15549.0,Mid-Value
295,17180.0,Mid-Value
296,15415.0,Mid-Value
297,17463.0,Mid-Value
298,17619.0,Mid-Value
299,14549.0,Mid-Value
300,16110.0,Mid-Value
301,14044.0,Mid-Value
302,17507.0,Mid-Value
303,13137.0,Mid-Value
304,15862.0,Low-Value
305,17908.0,Low-Value
306,12838.0,Low-Value
307,15983.0,Low-Value
308,17968.0,Low-Value
309,17897.0,Low-Value
310,14729.0,Low-Value
311,15012.0,Low-Value
312,15525.0,Low-Value
313,16274.0,Low-Value
314,17017.0,Low-Value
315,13418.0,Low-Value
316,16244.0,Low-Value
317,16916.0,Low-Value
318,17976.0,Low-Value
319,14449.0,Low-Value
320,14573.0,Low-Value
321,13370.0,Low-Value
322,17967.0,Low-Value
323,16891.0,Low-Value
324,14083.0,Low-Value
325,13013.0,Low-Value
326,14723.0,Low-Value
327,17198.0,Low-Value
328,13838.0,Low-Value
329,15351.0,Low-Value
330,18156.0,Low-Value
331,17059.0,Low-Value
332,17211.0,Low-Value
333,15880.0,Low-Value
334,16718.0,Low-Value
335,16402.0,Low-Value
336,15426.0,Low-Value
337,12647.0,Low-Value
338,14506.0,Low-Value
339,15555.0,Low-Value
340,15889.0,Low-Value
341,15898.0,Low-Value
342,15919.0,Low-Value
343,17596.0,Low-Value
344,17860.0,Low-Value
345,16919.0,Low-Value
346,17259.0,Low-Value
347,16710.0,Low-Value
348,16550.0,Low-Value
349,13030.0,Low-Value
350,17191.0,Low-Value
351,13564.0,Low-Value
352,15021.0,Low-Value
353,14907.0,Low-Value
354,16893.0,Low-Value
355,18043.0,Low-Value
356,16016.0,Low-Value
357,15581.0,Low-Value
358,16065.0,Low-Value
359,16520.0,Low-Value
360,16795.0,Low-Value
361,17827.0,Low-Value
362,16727.0,Low-Value
363,15514.0,Low-Value
364,16873.0,Low-Value
365,15503.0,Low-Value
366,14159.0,Low-Value
367,14684.0,Low-Value
368,15998.0,Low-Value
369,17618.0,Low-Value
370,14544.0,Low-Value
371,14565.0,Low-Value
372,17303.0,Low-Value
373,16442.0,Low-Value
374,12370.0,Low-Value
375,16805.0,Low-Value
376,17449.0,Low-Value
377,13124.0,Low-Value
378,12577.0,Low-Value
379,15157.0,Low-Value
380,15532.0,Low-Value
381,14985.0,Low-Value
382,15460.0,Low-Value
383,16270.0,Low-Value
384,14307.0,Low-Value
385,17690.0,Low-Value
386,13715.0,Low-Value
387,14135.0,Low-Value
388,17581.0,Low-Value
389,14395.0,Low-Value
390,17238.0,Low-Value
391,16241.0,Low-Value
392,15023.0,Low-Value
393,14404.0,Low-Value
394,16719.0,Low-Value
395,13155.0,Low-Value
396,17019.0,Low-Value
397,17218.0,Low-Value
398,16059.0,Low-Value
399,13267.0,Low-Value
400,17406.0,Low-Value
401,15529.0,Low-Value
402,15916.0,Low-Value
403,12481.0,Low-Value
404,12683.0,Low-Value
405,13982.0,Low-Value
406,12872.0,Low-Value
407,17097.0,Low-Value
408,14713.0,Low-Value
409,13969.0,Low-Value
410,14062.0,Low-Value
411,17890.0,Low-Value
412,16503.0,Low-Value
413,15727.0,Low-Value
414,16670.0,Low-Value
415,17744.0,Low-Value
416,14769.0,Low-Value
417,14472.0,Low-Value
418,15034.0,Low-Value
419,12383.0,Low-Value
420,12585.0,Low-Value
421,13680.0,Low-Value
422,17634.0,Low-Value
423,13764.0,Low-Value
424,16889.0,Low-Value
425,12484.0,Low-Value
426,17555.0,Low-Value
427,16735.0,Low-Value
428,13451.0,Low-Value
429,17365.0,Low-Value
430,14669.0,Low-Value
431,16791.0,Low-Value
432,17364.0,Low-Value
433,16395.0,Low-Value
434,15033.0,Low-Value
435,18069.0,Low-Value
436,15673.0,Low-Value
437,15296.0,Low-Value
438,14657.0,Low-Value
439,12451.0,Low-Value
440,17602.0,Low-Value
441,14572.0,Low-Value
442,17277.0,Low-Value
443,17809.0,Mid-Value
444,16098.0,Mid-Value
445,17924.0,Mid-Value
446,12662.0,Mid-Value
447,15605.0,Mid-Value
448,16928.0,Mid-Value
449,18229.0,Mid-Value
450,13576.0,Mid-Value
451,13941.0,Mid-Value
452,15658.0,Mid-Value
453,16546.0,Mid-Value
454,13305.0,Mid-Value
455,15738.0,Mid-Value
456,15827.0,Mid-Value
457,17412.0,Mid-Value
458,17659.0,Mid-Value
459,15299.0,Mid-Value
460,17135.0,Mid-Value
461,12967.0,Mid-Value
462,15240.0,Mid-Value
463,18225.0,Mid-Value
464,17949.0,Mid-Value
465,17819.0,Mid-Value
466,15373.0,Mid-Value
467,14898.0,Mid-Value
468,15465.0,Mid-Value
469,16353.0,Mid-Value
470,17858.0,Mid-Value
471,18219.0,Mid-Value
472,14293.0,Mid-Value
473,13094.0,Mid-Value
474,12474.0,Mid-Value
475,15602.0,Mid-Value
476,12913.0,Mid-Value
477,14176.0,Mid-Value
478,13880.0,Mid-Value
479,16775.0,Mid-Value
480,16306.0,Mid-Value
481,12709.0,Mid-Value
482,13599.0,Mid-Value
483,14744.0,Mid-Value
484,13199.0,Mid-Value
485,16525.0,Mid-Value
486,18061.0,Mid-Value
487,16553.0,Mid-Value
488,13115.0,Mid-Value
489,13848.0,Mid-Value
490,17655.0,Mid-Value
491,12963.0,Mid-Value
492,15079.0,Mid-Value
493,13854.0,Mid-Value
494,12494.0,Mid-Value
495,17857.0,Mid-Value
496,17526.0,Mid-Value
497,13021.0,Mid-Value
498,18230.0,Mid-Value
499,14441.0,Mid-Value
500,17442.0,Mid-Value
501,13327.0,Mid-Value
502,17790.0,Mid-Value
503,16656.0,Mid-Value
504,14543.0,Mid-Value
505,12989.0,Mid-Value
506,14107.0,Mid-Value
507,17236.0,Mid-Value
508,17188.0,Mid-Value
509,17937.0,Mid-Value
510,16701.0,Mid-Value
511,12476.0,Mid-Value
512,18075.0,Mid-Value
513,16458.0,Mid-Value
514,16531.0,Mid-Value
515,17454.0,Mid-Value
516,15290.0,Mid-Value
517,16607.0,Mid-Value
518,16037.0,Mid-Value
519,12980.0,Mid-Value
520,14878.0,Mid-Value
521,14309.0,Mid-Value
522,17288.0,Mid-Value
523,15759.0,Mid-Value
524,14735.0,Mid-Value
525,14560.0,Mid-Value
526,12931.0,Mid-Value
527,16711.0,Mid-Value
528,12423.0,Mid-Value
529,17306.0,Mid-Value
530,14944.0,Mid-Value
531,13397.0,Mid-Value
532,17389.0,Mid-Value
533,14258.0,Mid-Value
534,13750.0,Mid-Value
535,17095.0,Mid-Value
536,12939.0,Mid-Value
537,12500.0,Mid-Value
538,12524.0,Mid-Value
539,13672.0,Mid-Value
540,14229.0,Mid-Value
541,12601.0,Mid-Value
542,15370.0,Mid-Value
543,15189.0,Mid-Value
544,16235.0,Mid-Value
545,12523.0,Mid-Value
546,16359.0,Mid-Value
547,14715.0,Mid-Value
548,12951.0,Mid-Value
549,13993.0,Mid-Value
550,12553.0,Mid-Value
551,16401.0,Mid-Value
552,12388.0,Mid-Value
553,14101.0,Mid-Value
554,17730.0,Mid-Value
555,12527.0,Mid-Value
556,15606.0,Mid-Value
557,16321.0,Mid-Value
558,16912.0,Mid-Value
559,12594.0,Mid-Value
560,14692.0,Mid-Value
561,13819.0,Mid-Value
562,16730.0,Mid-Value
563,15797.0,Mid-Value
564,16133.0,Mid-Value
565,13098.0,Mid-Value
566,14133.0,Mid-Value
567,16403.0,Mid-Value
568,16407.0,Mid-Value
569,17035.0,Mid-Value
570,13110.0,Mid-Value
571,16716.0,Mid-Value
572,14665.0,Mid-Value
573,17560.0,Mid-Value
574,16378.0,Mid-Value
575,13894.0,Mid-Value
576,18250.0,Mid-Value
577,15270.0,Mid-Value
578,16405.0,Mid-Value
579,17071.0,Mid-Value
580,13873.0,Mid-Value
581,16333.0,Mid-Value
582,14497.0,Mid-Value
583,17334.0,Mid-Value
584,12410.0,Mid-Value
585,13911.0,Mid-Value
586,14842.0,Mid-Value
587,16332.0,Mid-Value
588,14475.0,Mid-Value
589,17859.0,Mid-Value
590,12576.0,Mid-Value
591,15753.0,Mid-Value
592,12599.0,Mid-Value
593,14562.0,Mid-Value
594,16998.0,Mid-Value
595,13133.0,Mid-Value
596,17881.0,Mid-Value
597,15843.0,Mid-Value
598,17083.0,Mid-Value
599,15970.0,Mid-Value
600,13590.0,Mid-Value
601,12401.0,Mid-Value
602,17843.0,Mid-Value
603,13706.0,Mid-Value
604,17940.0,Mid-Value
605,14431.0,Mid-Value
606,15809.0,Mid-Value
607,12561.0,Mid-Value
608,14465.0,Mid-Value
609,18093.0,Mid-Value
610,16027.0,Mid-Value
611,12857.0,Mid-Value
612,16425.0,Mid-Value
613,16842.0,Mid-Value
614,15796.0,Mid-Value
615,14555.0,Mid-Value
616,15114.0,Mid-Value
617,15133.0,Mid-Value
618,17705.0,Mid-Value
619,18087.0,Mid-Value
620,12897.0,Mid-Value
621,17512.0,Mid-Value
622,15550.0,Mid-Value
623,14676.0,Mid-Value
624,12505.0,Mid-Value
625,18159.0,Mid-Value
626,14304.0,Mid-Value
627,15638.0,Mid-Value
628,12943.0,Mid-Value
629,13875.0,Mid-Value
630,15406.0,Mid-Value
631,18084.0,Mid-Value
632,16434.0,Mid-Value
633,13171.0,Mid-Value
634,17255.0,Mid-Value
635,16084.0,Mid-Value
636,12507.0,Mid-Value
637,14631.0,Mid-Value
638,13381.0,Mid-Value
639,15236.0,Mid-Value
640,13475.0,Mid-Value
641,17829.0,Mid-Value
642,13717.0,Mid-Value
643,13157.0,Mid-Value
644,14644.0,Mid-Value
645,12993.0,Mid-Value
646,16979.0,Mid-Value
647,16738.0,Mid-Value
648,15122.0,Mid-Value
649,17612.0,Mid-Value
650,17348.0,Mid-Value
651,13893.0,Mid-Value
652,14035.0,Mid-Value
653,13623.0,Mid-Value
654,14346.0,Mid-Value
655,12616.0,Mid-Value
656,16317.0,Mid-Value
657,14935.0,Mid-Value
658,16073.0,Mid-Value
659,14477.0,Mid-Value
660,14760.0,Mid-Value
661,14897.0,Mid-Value
662,15810.0,Mid-Value
663,16509.0,Mid-Value
664,14386.0,Mid-Value
665,12455.0,Mid-Value
666,15670.0,Mid-Value
667,12653.0,Mid-Value
668,16126.0,Mid-Value
669,14609.0,Mid-Value
670,13414.0,Mid-Value
671,12823.0,Mid-Value
672,12352.0,Mid-Value
673,12372.0,Mid-Value
674,14959.0,Mid-Value
675,16148.0,Mid-Value
676,17422.0,Mid-Value
677,17175.0,Mid-Value
678,18257.0,Mid-Value
679,12362.0,Mid-Value
680,13018.0,Mid-Value
681,13718.0,Mid-Value
682,14754.0,Mid-Value
683,12654.0,Mid-Value
684,13085.0,Mid-Value
685,15903.0,Mid-Value
686,15785.0,Mid-Value
687,18138.0,Mid-Value
688,14379.0,Mid-Value
689,14211.0,Mid-Value
690,14371.0,Mid-Value
691,13425.0,Mid-Value
692,12852.0,Mid-Value
693,15228.0,Mid-Value
694,13012.0,Mid-Value
695,16182.0,Mid-Value
696,13489.0,Mid-Value
697,13904.0,Mid-Value
698,15755.0,Mid-Value
699,13932.0,Mid-Value
700,13799.0,Mid-Value
701,13951.0,Mid-Value
702,16765.0,Mid-Value
703,16566.0,Mid-Value
704,12891.0,Mid-Value
705,16466.0,Mid-Value
706,16115.0,Mid-Value
707,14162.0,Mid-Value
708,13301.0,Mid-Value
709,14803.0,Mid-Value
710,17323.0,Mid-Value
711,12707.0,Mid-Value
712,18094.0,Mid-Value
713,15129.0,Mid-Value
714,17361.0,Mid-Value
715,18155.0,Mid-Value
716,15321.0,Mid-Value
717,13477.0,Mid-Value
718,12365.0,Mid-Value
719,13410.0,Mid-Value
720,13044.0,Mid-Value
721,16441.0,Mid-Value
722,14520.0,Mid-Value
723,13038.0,Mid-Value
724,17002.0,Mid-Value
725,15722.0,Mid-Value
726,16349.0,Mid-Value
727,16913.0,Mid-Value
728,18114.0,Mid-Value
729,15303.0,Mid-Value
730,12845.0,Mid-Value
731,18188.0,Mid-Value
732,16045.0,Mid-Value
733,16573.0,Mid-Value
734,13184.0,Mid-Value
735,18151.0,Mid-Value
736,13804.0,Mid-Value
737,17499.0,Mid-Value
738,15397.0,Mid-Value
739,14276.0,Mid-Value
740,13453.0,Mid-Value
741,16394.0,Mid-Value
742,17711.0,Mid-Value
743,13865.0,Mid-Value
744,14289.0,Mid-Value
745,16208.0,Mid-Value
746,15291.0,Low-Value
747,18144.0,Low-Value
748,14496.0,Low-Value
749,12947.0,Low-Value
750,17460.0,Low-Value
751,15694.0,Low-Value
752,13117.0,Low-Value
753,14466.0,Low-Value
754,15107.0,Low-Value
755,15838.0,Low-Value
756,13491.0,Low-Value
757,17685.0,Low-Value
758,12600.0,Low-Value
759,12779.0,Low-Value
760,16168.0,Low-Value
761,13506.0,Low-Value
762,16983.0,Low-Value
763,14409.0,Low-Value
764,14850.0,Low-Value
765,13963.0,Low-Value
766,13769.0,Low-Value
767,14952.0,Low-Value
768,14217.0,Low-Value
769,14299.0,Low-Value
770,16717.0,Low-Value
771,14243.0,Low-Value
772,14440.0,Low-Value
773,15596.0,Low-Value
774,17912.0,Low-Value
775,18178.0,Low-Value
776,15881.0,Low-Value
777,18016.0,Low-Value
778,18037.0,Low-Value
779,14290.0,Low-Value
780,15854.0,Low-Value
781,17293.0,Low-Value
782,17375.0,Low-Value
783,15777.0,Low-Value
784,13324.0,Low-Value
785,13802.0,Low-Value
786,16570.0,Low-Value
787,14401.0,Low-Value
788,17692.0,Low-Value
789,13890.0,Low-Value
790,17001.0,Low-Value
791,16985.0,Low-Value
792,14709.0,Low-Value
793,16816.0,Low-Value
794,14334.0,Low-Value
795,18260.0,Low-Value
796,17848.0,Low-Value
797,12348.0,Low-Value
798,12417.0,Low-Value
799,12726.0,Low-Value
800,17888.0,Low-Value
801,12691.0,Low-Value
802,14113.0,Low-Value
803,17621.0,Low-Value
804,15527.0,Low-Value
805,17239.0,Low-Value
806,14532.0,Low-Value
807,17457.0,Low-Value
808,13629.0,Low-Value
809,15661.0,Low-Value
810,17368.0,Low-Value
811,12735.0,Low-Value
812,14312.0,Low-Value
813,18198.0,Low-Value
814,16326.0,Low-Value
815,16748.0,Low-Value
816,17849.0,Low-Value
817,16497.0,Low-Value
818,18095.0,Low-Value
819,13784.0,Low-Value
820,15939.0,Low-Value
821,12437.0,Low-Value
822,17048.0,Low-Value
823,15213.0,Low-Value
824,14175.0,Low-Value
825,13929.0,Low-Value
826,16997.0,Low-Value
827,13310.0,Low-Value
828,17094.0,Low-Value
829,12970.0,Low-Value
830,17889.0,Low-Value
831,17644.0,Low-Value
832,17714.0,Low-Value
833,12916.0,Low-Value
834,17769.0,Low-Value
835,14450.0,Low-Value
836,16085.0,Low-Value
837,15167.0,Low-Value
838,14224.0,Low-Value
839,14068.0,Low-Value
840,13068.0,Low-Value
841,14368.0,Low-Value
842,15497.0,Low-Value
843,12559.0,Low-Value
844,14501.0,Low-Value
845,14782.0,Low-Value
846,17861.0,Low-Value
847,14439.0,Low-Value
848,18161.0,Low-Value
849,15820.0,Low-Value
850,18136.0,Low-Value
851,16660.0,Low-Value
852,12693.0,Low-Value
853,13396.0,Low-Value
854,12935.0,Low-Value
855,13551.0,Low-Value
856,12421.0,Low-Value
857,15052.0,Low-Value
858,15222.0,Low-Value
859,13615.0,Low-Value
860,13901.0,Low-Value
861,13158.0,Low-Value
862,14257.0,Low-Value
863,15218.0,Low-Value
864,15110.0,Low-Value
865,15967.0,Low-Value
866,16757.0,Low-Value
867,12854.0,Low-Value
868,18008.0,Low-Value
869,18277.0,Low-Value
870,14389.0,Low-Value
871,13703.0,Low-Value
872,15339.0,Low-Value
873,14341.0,Low-Value
874,16943.0,Low-Value
875,17515.0,Low-Value
876,17082.0,Low-Value
877,14248.0,Low-Value
878,12609.0,Low-Value
879,13002.0,Low-Value
880,13049.0,Low-Value
881,14548.0,Low-Value
882,13405.0,Low-Value
883,16043.0,Low-Value
884,15812.0,Low-Value
885,13837.0,Low-Value
886,17118.0,Low-Value
887,14616.0,Low-Value
888,14233.0,Low-Value
889,17027.0,Low-Value
890,12591.0,Low-Value
891,17786.0,Low-Value
892,16124.0,Low-Value
893,13754.0,Low-Value
894,15227.0,Low-Value
895,12997.0,Low-Value
896,15215.0,Low-Value
897,16918.0,Low-Value
898,16882.0,Low-Value
899,14442.0,Low-Value
900,16496.0,Low-Value
901,17311.0,Low-Value
902,15910.0,Low-Value
903,16949.0,Low-Value
904,14970.0,Low-Value
905,12645.0,Low-Value
906,12468.0,Low-Value
907,14738.0,Low-Value
908,17540.0,Low-Value
909,14239.0,Low-Value
910,13328.0,Low-Value
911,15864.0,Low-Value
912,14662.0,Low-Value
913,15057.0,Low-Value
914,12574.0,Low-Value
915,13330.0,Low-Value
916,13552.0,Low-Value
917,12853.0,Low-Value
918,13538.0,Low-Value
919,16755.0,Low-Value
920,16523.0,Low-Value
921,13141.0,Low-Value
922,15365.0,Low-Value
923,13707.0,Low-Value
924,13709.0,Low-Value
925,17329.0,Low-Value
926,14805.0,Low-Value
927,15579.0,Low-Value
928,14595.0,Low-Value
929,13161.0,Low-Value
930,17431.0,Low-Value
931,12528.0,Low-Value
932,15448.0,Low-Value
933,17314.0,Low-Value
934,17373.0,Low-Value
935,18145.0,Low-Value
936,14467.0,Low-Value
937,12908.0,Low-Value
938,15144.0,Low-Value
939,14776.0,Low-Value
940,12778.0,Low-Value
941,17256.0,Low-Value
942,17604.0,Low-Value
943,14006.0,Low-Value
944,13600.0,Low-Value
945,17147.0,Low-Value
946,13881.0,Low-Value
947,16612.0,Low-Value
948,14627.0,Low-Value
949,17356.0,Low-Value
950,12836.0,Low-Value
951,13939.0,Low-Value
952,13606.0,Low-Value
953,13494.0,Low-Value
954,12929.0,Low-Value
955,16419.0,Low-Value
956,15203.0,Low-Value
957,16515.0,Low-Value
958,12373.0,Low-Value
959,18202.0,Low-Value
960,12775.0,Low-Value
961,15981.0,Low-Value
962,17376.0,Low-Value
963,12676.0,Low-Value
964,15940.0,Low-Value
965,15971.0,Low-Value
966,14457.0,Low-Value
967,15589.0,Low-Value
968,14411.0,Low-Value
969,15226.0,Low-Value
970,14460.0,Low-Value
971,16156.0,Low-Value
972,13728.0,Low-Value
973,14127.0,Low-Value
974,13824.0,Low-Value
975,14188.0,Low-Value
976,18017.0,Low-Value
977,15421.0,Low-Value
978,17446.0,Low-Value
979,12414.0,Low-Value
980,14798.0,Low-Value
981,12990.0,Low-Value
982,12350.0,Low-Value
983,16992.0,Low-Value
984,17362.0,Low-Value
985,13394.0,Low-Value
986,12502.0,Low-Value
987,16030.0,Low-Value
988,13800.0,Low-Value
989,17672.0,Low-Value
990,12464.0,Low-Value
991,13581.0,Low-Value
992,14540.0,Low-Value
993,13539.0,Low-Value
994,15885.0,Low-Value
995,13208.0,Low-Value
996,13871.0,Low-Value
997,16938.0,Low-Value
998,12754.0,Low-Value
999,17929.0,Low-Value
1000,14778.0,Low-Value
1001,17517.0,Low-Value
1002,17226.0,Low-Value
1003,13309.0,Low-Value
1004,12842.0,Low-Value
1005,16109.0,Low-Value
1006,17291.0,Low-Value
1007,15090.0,Low-Value
1008,15199.0,Low-Value
1009,14194.0,Low-Value
1010,13584.0,Low-Value
1011,17105.0,Low-Value
1012,14438.0,Low-Value
1013,12956.0,Low-Value
1014,15781.0,Low-Value
1015,14410.0,Low-Value
1016,14600.0,Low-Value
1017,17302.0,Low-Value
1018,17613.0,Low-Value
1019,13955.0,Low-Value
1020,17162.0,Low-Value
1021,17774.0,Low-Value
1022,13809.0,Low-Value
1023,15407.0,Low-Value
1024,15577.0,Low-Value
1025,13748.0,Low-Value
1026,18074.0,Low-Value
1027,17420.0,Low-Value
1028,16250.0,Low-Value
1029,17548.0,Low-Value
1030,13705.0,Low-Value
1031,13747.0,Low-Value
